id,name,categories,prices
AWFbOS4iHh53nbDRF8km,Logitech G433 7.1 Wired Gaming Headset with DTS Headphone: X 7.1 Surround for PC,"Computers,Audio & Video Accessories,PC Games Accessories,Computers & Accessories,Computer Accessories & Peripherals,Electronics,Gaming Headsets,Gaming Systems,Headsets & Microphones,PC Headsets & Glasses,Speakers, Headsets, Mics Webcams,Computers & Tablets,Computer Peripherals,Computer Headsets,Technology & Services",99.99
AWFPIftXuC1rwyj_nIQs,Logitech G933 Artemis Spectrum – Wireless RGB 7.1 Dolby and DST Headphone Surround Sound Gaming Headset – PC,"Computers,Audio & Video Accessories,Computers & Accessories,Computer Accessories & Peripherals,See more Logitech G933 Limited Edition Black Headband H...,Computer & Tablet Accessories,Electronics,Computer Speakers & Headsets,Computers/Tablets & Networking,Gaming Headsets,Headsets & Microphones,Laptop & Desktop Accessories,Headsets,Speakers, Headsets, Mics Webcams,Computers & Tablets,Computer Peripherals,Computer Headsets,Technology & Services",77.99
AWFKEUxkuC1rwyj_nF67,WD - My Book 6TB External USB 3.0 Hard Drive - Black,"Hard Drives,Computers,External Hard Disk Drives,Drives, Storage & Blank Media,Computers & Accessories,Hard Drives (HDD, SSD & NAS),Computer Accessories & Peripherals,Hard Drives & Storage,Electronics,Computers/Tablets & Networking,External Hard Drives,Data Storage & Media,Computer Components,Computers & Tablets,Technology & Services,Data Storage",169.99
AWFFs0b8Iwln0LfXiQnR,Details About Netgear Powerline 1000 Mbps Wifi 802.11ac 1 Gigabit Port Plw1000100nas,"Computers,Networking,Computers & Accessories,Home Networking & Connectivity,Electronics,See more NETGEAR Powerline 1000 Mbps WiFi 802.11ac 1 Gi...,Wi-Fi & Networking,Computers/Tablets & Networking,Powerline Networking,Computers & Tablets,Powerline Adapters,Networking Products,Powerline Network Adapters,Network Adapters",119.99
AWFFkl2hIwln0LfXiPPs,Linksys AC1900 Gigabit Range Extender/WiFi Booster/Repeater MU-MIMO (Max Stream RE7000),"Computers,Range Extenders,Networking,Computers & Accessories,Routers,Home Networking & Connectivity,Wireless Networking,Wireless Range Extenders,Electronics,Repeaters,Wireless Routers,Wi-Fi Extenders,Modem Router Combos,Wi-Fi & Networking,Access Points, Hubs & Switches,Computers/Tablets & Networking,Modems & Gateways,See more Linksys Ac1900 WiFi Cable Modem Router CG7500,Computers & Tablets,Modems,Networking Products",199.97
AWFFhQ_0Iwln0LfXiOyo,"Dell - P2418HT 24 IPS LED FHD Touch-Screen Monitor - Black""","Computers,Computers & Accessories,Monitors, Projectors & Accs,Electronics,Monitors Displays,Computers/Tablets & Networking,Technology,Laptop Accessories,Monitors,Computers & Tablets,Laptops,Computer Monitors,LED Monitors",320
AWFFh3tBYSSHbkXwwEem,ProSafe 16-Port Gigabit Desktop Switch,"Computers,Computers & Accessories,Networking,Switches,Wired Networking,Electronics,Ethernet Switches,Enterprise Networking, Servers,Wi-Fi & Networking,Computers/Tablets & Networking,Computers & Tablets,Network Switches,Networking Products,Switches & Hubs,Network Switches, Bridges Hubs",54.99
AWFFTzcwYSSHbkXwwCzw,"Refurbished TCL 49 Class 4K (2160P) Roku Smart LED TV (49S405)""","TCL Smart TVs,TV, Video & Home Audio,Electronics,Electronics Deals,Shop TVs by Type,Televisions,TV & Home Theater,All Flat-Panel TVs,Tvs & Home Theater,Tvs,LED & LCD TVs,Consumer Electronics,Refurbished TVs,TV & Video,Technology,Smart TVs by Brand,4K TVs by Brand,Television & Video,4K TCL TVs,LED TVs",319
AWFFJGBBHh53nbDRFyNR,"LG - 55 Class - LED - UJ7700 Series - 2160p - Smart - 4K UHD TV with HDR""","LED & LCD TVs,TVs,TV & Video,Electronics,4K TVs by Brand,Television & Video,Televisions,TVs Entertainment,TV & Home Theater,4K LG TVs,All Flat-Panel TVs",1299.99
AWFFBU8JIwln0LfXiLtO,Details About New Logitech G230 981000541 Headset,"Computers,Video Game Accessories,Computer Accessories & Peripherals,Computer & Tablet Accessories,All Video Game Accessories,Electronics,Computer Speakers & Headsets,Headphones,Accessories,Computers/Tablets & Networking,Gaming Headsets,See more Logitech G230 Black/Red Headband Headsets for ...,Ways To Shop Video Games,Headsets & Microphones,Laptop & Desktop Accessories,Video Games,Headsets,Speakers, Headsets, Mics Webcams,Computers & Tablets,Computer Peripherals,Computer Headsets,Video Games & Consoles,Technology & Services",59.99
